type charge x y z
1025 3 -2 7.07541 11.5526 27.4087 

1025 3 -2 6.39849 9.75775 27.4087 

1025 3 -2 5.72153 7.96282 27.4089 

1025 3 -2 5.04462 13.716 27.4086 

1025 3 -2 4.36772 11.921 27.4086 

1025 3 -2 3.69075 10.126 27.4088 

1025 3 -2 3.01382 8.33108 27.4088 

1025 3 -2 2.33698 14.0843 27.4086 

1025 3 -2 1.66007 12.2892 27.4087 

1025 3 -2 0.983183 10.4942 27.4086 

1025 3 -2 0.306289 8.69933 27.4086 

1025 3 -2 7.17746 14.4526 27.4085 

1025 3 -2 6.5006 12.6575 27.4088 

1025 3 -2 5.82368 10.8626 27.4087 

1025 3 -2 5.14673 9.06767 27.4088 

1025 3 -2 4.46986 14.8209 27.4086 

1025 3 -2 3.79292 13.0259 27.4085 

1025 3 -2 3.11598 11.2308 27.4087 

1025 3 -2 2.43905 9.43591 27.4087 

1025 3 -2 1.76213 7.64102 27.4088 

1025 3 -2 1.08531 13.3941 27.4087 

1025 3 -2 0.408408 11.5991 27.4086 

1025 3 -2 7.27965 9.80424 27.4086 

1025 3 -2 6.60271 8.00933 27.4089 

1025 3 -2 5.92578 13.7625 27.4086 

1025 3 -2 5.24888 11.9674 27.4087 

1025 3 -2 4.57194 10.1725 27.4089 

1025 3 -2 3.89497 8.37756 27.4088 

1025 3 -2 3.21812 14.1308 27.4086 

1025 3 -2 2.54121 12.3357 27.4087 

1025 3 -2 1.86428 10.5407 27.4086 

1025 3 -2 1.18739 8.74582 27.4087 

1025 3 -2 0.510596 14.499 27.4085 

1025 3 -2 7.38175 12.704 27.4087 

1025 3 -2 6.70485 10.9091 27.4087 

1025 3 -2 6.02793 9.11417 27.4088 

1025 3 -2 5.351 14.8674 27.4086 

