type charge x y z
1025 3 -0.494275 5.64479 5.6426 22.6607 

1025 3 -0.494055 5.68588 5.69087 22.6261 

1025 3 -0.495978 5.68586 2.74088 22.6625 

1025 3 -0.497342 -0.00823842 2.80572 22.6722 

1025 3 -0.497663 2.87853 8.52019 22.6194 

1025 3 -0.500671 2.82913 5.70917 22.6598 

1025 3 -0.495081 2.9071 19.8438 22.6933 

1025 3 -0.494893 -0.0140539 2.86516 22.6863 

1025 3 -0.49563 22.6109 22.664 22.6584 

1025 3 -0.494913 8.56486 5.62872 22.6954 

1025 3 -0.497108 5.5784 5.68331 22.6141 

1025 3 -0.495993 5.70462 2.87378 22.6272 

1025 3 -0.495993 8.49202 0.0273021 22.6608 

1025 3 -0.498847 5.69741 2.7562 22.621 

1025 3 -0.497244 2.86183 8.46032 22.6638 

1025 3 -0.496448 2.85339 2.93902 22.6586 

1025 3 -0.496647 2.87213 22.5824 22.7336 

1025 3 -0.498299 2.81746 5.70469 22.6462 

1025 3 -0.496447 22.7562 5.6358 22.7135 

1025 3 -0.496619 22.6203 2.86588 22.6779 

1025 3 -0.497818 8.51964 22.6527 22.6682 

1025 3 -0.496317 5.6472 5.73213 22.6604 

1025 3 -0.495586 2.81879 5.62486 22.6698 

1025 3 -0.494252 5.67357 2.82254 22.6715 

1025 3 -0.494298 5.70347 2.74876 22.6924 

1025 3 -0.491797 2.85739 8.52786 22.7211 

1025 3 -0.498566 2.81981 5.68854 22.6949 

1025 3 -0.495832 2.82437 2.84921 22.6706 

1025 3 -0.494856 2.85607 2.88262 22.6697 

1025 3 -0.496119 22.6518 22.6583 22.6595 

1025 3 -0.494631 -0.0316293 5.60402 22.7379 

1025 3 -0.497374 8.4955 2.67674 22.6407 

1025 3 -0.49633 5.60265 2.86785 22.657 

1025 3 -0.496582 5.73945 -0.0418851 22.6282 

1025 3 -0.496193 5.66716 5.6225 22.6799 

1025 3 -0.494945 5.67477 5.73744 22.6783 

1025 3 -0.495786 2.80355 2.89385 22.6978 

1025 3 -0.491493 22.5999 22.7211 22.6974 

1025 3 -0.494869 2.78179 5.72106 22.7457 

1025 3 -0.496219 5.6672 5.71059 22.672 

1025 3 -0.495044 22.69 2.90865 22.6569 

1025 3 -0.496081 -0.0783506 0.0213717 22.714 

1025 3 -0.495111 -0.00563211 5.66415 22.6709 

1025 3 -0.497938 5.7232 5.61571 22.67 

1025 3 -0.492289 5.67213 22.6279 22.6669 

1025 3 -0.499919 5.58555 2.85165 22.6574 

1025 3 -0.494629 8.58495 8.55237 22.6661 

1025 3 -0.499478 2.84748 5.72443 22.6285 

1025 3 -0.497394 2.84979 2.89136 22.6568 

1025 3 -0.493868 2.82797 2.80092 22.7486 

1025 3 -0.495818 2.81519 22.672 22.6988 

1025 3 -0.500037 2.81593 5.65621 22.6579 

1025 3 -0.496271 19.8066 2.81794 22.6537 

1025 3 -0.496271 22.6608 2.79194 22.6636 

1025 3 -0.497631 8.5344 -0.0472175 22.657 

1025 3 -0.494878 5.64554 5.60146 22.6788 

1025 3 -0.49444 5.71239 5.75132 22.6914 

1025 3 -0.493013 5.66617 5.65779 22.6778 

1025 3 -0.492405 2.80445 0.0410714 22.7477 

1025 3 -0.495707 2.81052 5.77407 22.6907 

1025 3 -0.495726 2.84645 5.68959 22.7407 

1025 3 -0.494629 2.83494 2.84196 22.6747 

1025 3 -0.491914 2.84795 -0.0346946 22.7404 

1025 3 -0.494177 22.6286 8.51782 22.7028 

1025 3 -0.494548 0.0412395 5.69622 22.6901 

1025 3 -0.49418 8.51304 2.84592 22.6762 

1025 3 -0.494064 5.65751 2.83824 22.6752 

1025 3 -0.493501 5.67638 8.48027 22.6975 

1025 3 -0.497576 5.67242 5.69409 22.6938 

1025 3 -0.500742 8.45931 2.85076 22.6419 

1025 3 -0.494992 2.82921 2.8629 22.7002 

1025 3 -0.494783 2.81635 22.6361 22.7045 

1025 3 -0.493836 2.83312 5.71041 22.6571 

1025 3 -0.496881 2.76474 5.76866 22.6777 

1025 3 -0.495797 22.6274 2.83329 22.6654 

1025 3 -0.494612 -0.0553224 0.0372143 22.6811 

1025 3 -0.492828 8.52279 5.61845 22.6814 

1025 3 -0.492589 5.62874 5.65979 22.7015 

1025 3 -0.496434 5.65275 2.85044 22.6584 

1025 3 -0.49607 5.63908 0.0384145 22.6072 

1025 3 -0.495324 5.63166 2.82672 22.6441 

1025 3 -0.495959 2.82386 5.74802 22.6994 

1025 3 -0.496292 2.81504 2.84468 22.6742 

1025 3 -0.497309 2.85196 22.6546 22.7258 

1025 3 -0.494184 2.8694 8.53884 22.6783 

1025 3 -0.494048 -0.00986163 5.63435 22.6917 

1025 3 -0.497266 19.8249 2.83885 22.6351 

1025 3 -0.494003 8.41808 2.82599 22.6946 

1025 3 -0.496491 5.64498 -0.0451115 22.6155 

1025 3 -0.494474 5.66074 5.70194 22.6704 

1025 3 -0.492053 5.71984 2.76646 22.6574 

1025 3 -0.494148 5.62335 5.62723 22.6718 

1025 3 -0.497846 2.78925 0.0252142 22.7184 

