a b c d e
561 1 0.0 22.78496 5.696232
562 1 1.42406 24.20902 7.12029
563 1 2.84812 22.78496 5.696232
564 1 4.27218 24.20902 7.12029
565 1 5.69624 22.78496 5.696232
566 1 7.1203 24.20902 7.12029
567 1 8.54436 22.78496 5.696232
568 1 9.96842 24.20902 7.12029
569 1 11.39248 22.78496 5.696232
570 1 12.81654 24.20902 7.12029
571 1 14.2406 22.78496 5.696232
572 1 15.66466 24.20902 7.12029
573 1 17.08872 22.78496 5.696232
574 1 18.51278 24.20902 7.12029
575 1 19.93684 22.78496 5.696232
576 1 21.3609 24.20902 7.12029
577 1 22.78496 22.78496 5.696232
578 1 24.20902 24.20902 7.12029
579 1 25.63308 22.78496 5.696232
580 1 27.05714 24.20902 7.12029
581 1 0.0 25.63308 5.696232
582 1 1.42406 27.05714 7.12029
583 1 2.84812 25.63308 5.696232
584 1 4.27218 27.05714 7.12029
585 1 5.69624 25.63308 5.696232
586 1 7.1203 27.05714 7.12029
587 1 8.54436 25.63308 5.696232
588 1 9.96842 27.05714 7.12029
589 1 11.39248 25.63308 5.696232
590 1 12.81654 27.05714 7.12029
591 1 14.2406 25.63308 5.696232
592 1 15.66466 27.05714 7.12029
593 1 17.08872 25.63308 5.696232
594 1 18.51278 27.05714 7.12029
595 1 19.93684 25.63308 5.696232
596 1 21.3609 27.05714 7.12029
597 1 22.78496 25.63308 5.696232
598 1 24.20902 27.05714 7.12029
599 1 25.63308 25.63308 5.696232
600 1 27.05714 27.05714 7.12029
601 1 0.0 0.0 8.544348
602 1 1.42406 1.42406 9.968406
603 1 2.84812 0.0 8.544348
604 1 4.27218 1.42406 9.968406
605 1 5.69624 0.0 8.544348
606 1 7.1203 1.42406 9.968406
607 1 8.54436 0.0 8.544348
608 1 9.96842 1.42406 9.968406
609 1 11.39248 0.0 8.544348
610 1 12.81654 1.42406 9.968406
611 1 14.2406 0.0 8.544348
612 1 15.66466 1.42406 9.968406
613 1 17.08872 0.0 8.544348
614 1 18.51278 1.42406 9.968406
615 1 19.93684 0.0 8.544348
616 1 21.3609 1.42406 9.968406
617 1 22.78496 0.0 8.544348
618 1 24.20902 1.42406 9.968406
619 1 25.63308 0.0 8.544348
620 1 27.05714 1.42406 9.968406
621 1 0.0 2.84812 8.544348
622 1 1.42406 4.27218 9.968406
623 1 2.84812 2.84812 8.544348
624 1 4.27218 4.27218 9.968406
625 1 5.69624 2.84812 8.544348
626 1 7.1203 4.27218 9.968406
627 1 8.54436 2.84812 8.544348
628 1 9.96842 4.27218 9.968406
629 1 11.39248 2.84812 8.544348
630 1 12.81654 4.27218 9.968406
631 1 14.2406 2.84812 8.544348
632 1 15.66466 4.27218 9.968406
633 1 17.08872 2.84812 8.544348
634 1 18.51278 4.27218 9.968406
635 1 19.93684 2.84812 8.544348
636 1 21.3609 4.27218 9.968406
637 1 22.78496 2.84812 8.544348
638 1 24.20902 4.27218 9.968406
639 1 25.63308 2.84812 8.544348
640 1 27.05714 4.27218 9.968406
641 1 0.0 5.69624 8.544348
642 1 1.42406 7.1203 9.968406
643 1 2.84812 5.69624 8.544348
644 1 4.27218 7.1203 9.968406
645 1 5.69624 5.69624 8.544348
646 1 7.1203 7.1203 9.968406
647 1 8.54436 5.69624 8.544348
648 1 9.96842 7.1203 9.968406
649 1 11.39248 5.69624 8.544348
650 1 12.81654 7.1203 9.968406
651 1 14.2406 5.69624 8.544348
652 1 15.66466 7.1203 9.968406
653 1 17.08872 5.69624 8.544348
654 1 18.51278 7.1203 9.968406
655 1 19.93684 5.69624 8.544348
656 1 21.3609 7.1203 9.968406
657 1 22.78496 5.69624 8.544348
658 1 24.20902 7.1203 9.968406
659 1 25.63308 5.69624 8.544348
660 1 27.05714 7.1203 9.968406
661 1 0.0 8.54436 8.544348
662 1 1.42406 9.96842 9.968406
663 1 2.84812 8.54436 8.544348
664 1 4.27218 9.96842 9.968406
665 1 5.69624 8.54436 8.544348
666 1 7.1203 9.96842 9.968406
667 1 8.54436 8.54436 8.544348
668 1 9.96842 9.96842 9.968406
669 1 11.39248 8.54436 8.544348
670 1 12.81654 9.96842 9.968406
671 1 14.2406 8.54436 8.544348
672 1 15.66466 9.96842 9.968406
673 1 17.08872 8.54436 8.544348
674 1 18.51278 9.96842 9.968406
675 1 19.93684 8.54436 8.544348
676 1 21.3609 9.96842 9.968406
677 1 22.78496 8.54436 8.544348
678 1 24.20902 9.96842 9.968406
679 1 25.63308 8.54436 8.544348
680 1 27.05714 9.96842 9.968406
681 1 0.0 11.39248 8.544348
682 1 1.42406 12.81654 9.968406
683 1 2.84812 11.39248 8.544348
684 1 4.27218 12.81654 9.968406
685 1 5.69624 11.39248 8.544348
686 1 7.1203 12.81654 9.968406
687 1 8.54436 11.39248 8.544348
688 1 9.96842 12.81654 9.968406
689 1 11.39248 11.39248 8.544348
690 1 12.81654 12.81654 9.968406
691 1 14.2406 11.39248 8.544348
692 1 15.66466 12.81654 9.968406
693 1 17.08872 11.39248 8.544348
694 1 18.51278 12.81654 9.968406
695 1 19.93684 11.39248 8.544348
696 1 21.3609 12.81654 9.968406
697 1 22.78496 11.39248 8.544348
698 1 24.20902 12.81654 9.968406
699 1 25.63308 11.39248 8.544348
700 1 27.05714 12.81654 9.968406
701 1 0.0 14.2406 8.544348
702 1 1.42406 15.66466 9.968406
703 1 2.84812 14.2406 8.544348
704 1 4.27218 15.66466 9.968406
705 1 5.69624 14.2406 8.544348
706 1 7.1203 15.66466 9.968406
707 1 8.54436 14.2406 8.544348
708 1 9.96842 15.66466 9.968406
709 1 11.39248 14.2406 8.544348
710 1 12.81654 15.66466 9.968406
711 1 14.2406 14.2406 8.544348
712 1 15.66466 15.66466 9.968406
713 1 17.08872 14.2406 8.544348
714 1 18.51278 15.66466 9.968406
715 1 19.93684 14.2406 8.544348
716 1 21.3609 15.66466 9.968406
717 1 22.78496 14.2406 8.544348
718 1 24.20902 15.66466 9.968406
719 1 25.63308 14.2406 8.544348
720 1 27.05714 15.66466 9.968406
721 1 0.0 17.08872 8.544348
722 1 1.42406 18.51278 9.968406
723 1 2.84812 17.08872 8.544348
724 1 4.27218 18.51278 9.968406
725 1 5.69624 17.08872 8.544348
726 1 7.1203 18.51278 9.968406
727 1 8.54436 17.08872 8.544348
728 1 9.96842 18.51278 9.968406
729 1 11.39248 17.08872 8.544348
730 1 12.81654 18.51278 9.968406
731 1 14.2406 17.08872 8.544348
732 1 15.66466 18.51278 9.968406
733 1 17.08872 17.08872 8.544348
734 1 18.51278 18.51278 9.968406
735 1 19.93684 17.08872 8.544348
736 1 21.3609 18.51278 9.968406
737 1 22.78496 17.08872 8.544348
